dataset,missing_pattern,missing_pattern_label,fold_index,method,method_label,block_count,conflict_pairs,omitted_pairs,omission_rate,selected_attributes,reduction_rate,test_f1_score,test_ranking_loss,chosen_features,reduct_jaccard_with_ours
birds,mcar,MCAR,1,ours,Ours,20.0,153.0,0.0,0.0,1,99.61538461538461,0.3499999940395355,0.5206447963800905,audio-ssd1,1.0
birds,mcar,MCAR,1,mcb-ar,MCB-AR,20.0,153.0,0.0,0.0,1,99.61538461538461,0.20000000298023224,0.6045688788335848,audio-ssd3,0.0
birds,mcar,MCAR,2,ours,Ours,20.0,169.0,0.0,0.0,1,99.61538461538461,0.4000000059604645,0.5326797385620915,audio-ssd1,1.0
birds,mcar,MCAR,2,mcb-ar,MCB-AR,20.0,169.0,0.0,0.0,1,99.61538461538461,0.44999998807907104,0.46616904337492576,audio-ssd2,0.0
birds,by_object,Object-wise,1,ours,Ours,18.0,167.0,0.0,0.0,1,99.61538461538461,0.3499999940395355,0.5459338863750629,audio-ssd1,1.0
birds,by_object,Object-wise,1,mcb-ar,MCB-AR,1.0,153.0,153.0,1.0,0,100.0,0.3499999940395355,0.5680178481649071,,0.0
birds,by_object,Object-wise,2,ours,Ours,18.0,153.0,0.0,0.0,1,99.61538461538461,0.18333333730697632,0.5075386215092097,audio-ssd1,1.0
birds,by_object,Object-wise,2,mcb-ar,MCB-AR,1.0,169.0,169.0,1.0,0,100.0,0.44999998807907104,0.540738265002971,,0.0
birds,by_attribute,Attribute-wise,1,ours,Ours,20.0,153.0,0.0,0.0,1,99.61538461538461,0.3499999940395355,0.5548014077425842,audio-ssd1,1.0
birds,by_attribute,Attribute-wise,1,mcb-ar,MCB-AR,20.0,153.0,0.0,0.0,1,99.61538461538461,0.3499999940395355,0.5548014077425842,audio-ssd1,1.0
birds,by_attribute,Attribute-wise,2,ours,Ours,20.0,169.0,0.0,0.0,1,99.61538461538461,0.44999998807907104,0.4961378490790256,audio-ssd1,1.0
birds,by_attribute,Attribute-wise,2,mcb-ar,MCB-AR,20.0,169.0,0.0,0.0,1,99.61538461538461,0.44999998807907104,0.4961378490790256,audio-ssd1,1.0
birds,blockwise,Blockwise,1,ours,Ours,20.0,153.0,0.0,0.0,1,99.61538461538461,0.3499999940395355,0.5548014077425842,audio-ssd1,1.0
birds,blockwise,Blockwise,1,mcb-ar,MCB-AR,20.0,153.0,0.0,0.0,1,99.61538461538461,0.3499999940395355,0.5548014077425842,audio-ssd1,1.0
birds,blockwise,Blockwise,2,ours,Ours,20.0,169.0,0.0,0.0,1,99.61538461538461,0.44999998807907104,0.4961378490790256,audio-ssd1,1.0
birds,blockwise,Blockwise,2,mcb-ar,MCB-AR,20.0,169.0,0.0,0.0,1,99.61538461538461,0.44999998807907104,0.4961378490790256,audio-ssd1,1.0
