dataset,missing_ratio,missing_pattern,missing_pattern_label,algorithm,algorithm_label,fold_index,imputer,tuned_k,train_objects,validation_objects,test_objects,reduction_time,tuning_time,preprocessing_time,selection_pipeline_time,selected_attributes,reduction_rate,test_f1_score,test_ranking_loss,test_coverage,test_hamming_loss,chosen_features
birds,0.05,mcar,MCAR,mcb-ar,MCB-AR,1,native,1,20,0,20,0.010481333001735038,0.0,0.0,0.010481333001735038,1,99.61538461538461,0.3499999940395355,0.536833836098542,8.384615384615385,0.10769230769230768,audio-ssd1
birds,0.05,mcar,MCAR,mcb-ar,MCB-AR,2,native,1,20,0,20,0.025478833000306622,0.0,0.0,0.025478833000306622,1,99.61538461538461,0.4033333361148834,0.4572192513368983,8.090909090909092,0.10833333333333332,audio-ssd2
birds,0.1,mcar,MCAR,mcb-ar,MCB-AR,1,native,1,20,0,20,0.024245082999186707,0.0,0.0,0.024245082999186707,1,99.61538461538461,0.20000000298023224,0.6045688788335848,10.0,0.1307692307692308,audio-ssd3
birds,0.1,mcar,MCAR,mcb-ar,MCB-AR,2,native,1,20,0,20,0.011355458000252838,0.0,0.0,0.011355458000252838,1,99.61538461538461,0.44999998807907104,0.46616904337492576,8.272727272727273,0.07727272727272727,audio-ssd2
birds,0.15,mcar,MCAR,mcb-ar,MCB-AR,1,native,1,20,0,20,0.010276375000103144,0.0,0.0,0.010276375000103144,1,99.61538461538461,0.3499999940395355,0.6082327802916038,10.0,0.10769230769230768,audio-ssd3
birds,0.15,mcar,MCAR,mcb-ar,MCB-AR,2,native,1,20,0,20,0.012036165999234072,0.0,0.0,0.012036165999234072,1,99.61538461538461,0.4000000059604645,0.4935754604872251,8.454545454545455,0.09583333333333333,audio-ssd4
scene,0.05,mcar,MCAR,mcb-ar,MCB-AR,1,native,1,20,0,20,0.010056875000373111,0.0,0.0,0.010056875000373111,1,99.65986394557824,0.03333333507180214,0.565,2.85,0.18333333333333326,Att1
scene,0.05,mcar,MCAR,mcb-ar,MCB-AR,2,native,1,20,0,20,0.009341832999780308,0.0,0.0,0.009341832999780308,1,99.65986394557824,0.05000000074505806,0.38,1.9,0.15833333333333327,Att3
scene,0.1,mcar,MCAR,mcb-ar,MCB-AR,1,native,1,20,0,20,0.021481542000401532,0.0,0.0,0.021481542000401532,1,99.65986394557824,0.03333333507180214,0.615,3.15,0.2333333333333333,Att2
scene,0.1,mcar,MCAR,mcb-ar,MCB-AR,2,native,1,20,0,20,0.013715791999857174,0.0,0.0,0.013715791999857174,1,99.65986394557824,0.05000000074505806,0.43,2.15,0.17499999999999996,Att3
scene,0.15,mcar,MCAR,mcb-ar,MCB-AR,1,native,1,20,0,20,0.022887333001563093,0.0,0.0,0.022887333001563093,1,99.65986394557824,0.03333333507180214,0.615,3.15,0.2333333333333333,Att2
scene,0.15,mcar,MCAR,mcb-ar,MCB-AR,2,native,1,20,0,20,0.015862292000747402,0.0,0.0,0.015862292000747402,1,99.65986394557824,0.05000000074505806,0.41,2.05,0.17499999999999996,Att3
yeast,0.05,mcar,MCAR,mcb-ar,MCB-AR,1,native,1,20,0,20,0.0030786249990342185,0.0,0.0,0.0030786249990342185,1,99.02912621359224,0.5154770612716675,0.3367547928262214,9.3,0.3346153846153847,Att1
yeast,0.05,mcar,MCAR,mcb-ar,MCB-AR,2,native,1,20,0,20,0.004972750000888482,0.0,0.0,0.004972750000888482,1,99.02912621359224,0.4469444751739502,0.3102083333333333,8.7,0.3576923076923077,Att1
yeast,0.1,mcar,MCAR,mcb-ar,MCB-AR,1,native,1,20,0,20,0.0036246250001568114,0.0,0.0,0.0036246250001568114,1,99.02912621359224,0.45596402883529663,0.33216875386518246,9.65,0.3538461538461539,Att2
yeast,0.1,mcar,MCAR,mcb-ar,MCB-AR,2,native,1,20,0,20,0.003987250000136555,0.0,0.0,0.003987250000136555,1,99.02912621359224,0.47638893127441406,0.27847222222222223,7.95,0.36538461538461536,Att7
yeast,0.15,mcar,MCAR,mcb-ar,MCB-AR,1,native,1,20,0,20,0.004506334000325296,0.0,0.0,0.004506334000325296,1,99.02912621359224,0.4731420874595642,0.3319345238095238,9.05,0.3384615384615384,Att2
yeast,0.15,mcar,MCAR,mcb-ar,MCB-AR,2,native,1,20,0,20,0.00813358400046127,0.0,0.0,0.00813358400046127,1,99.02912621359224,0.46166667342185974,0.2521527777777778,8.3,0.2961538461538462,Att6
