dataset,missing_ratio,missing_pattern,missing_pattern_label,algorithm,algorithm_label,fold_index,imputer,tuned_k,train_objects,validation_objects,test_objects,reduction_time,tuning_time,preprocessing_time,selection_pipeline_time,selected_attributes,reduction_rate,test_f1_score,test_ranking_loss,test_coverage,test_hamming_loss,chosen_features
birds,0.05,mcar,MCAR,ours,Ours,1,native,1,20,0,20,0.02579712499573361,0.0,0.0,0.025797832997341175,1,99.61538461538461,0.3499999940395355,0.536833836098542,8.384615384615385,0.10769230769230768,audio-ssd1
birds,0.05,mcar,MCAR,ours,Ours,2,native,1,20,0,20,0.047953583001799416,0.0,0.0,0.047955000001820736,1,99.61538461538461,0.4000000059604645,0.5326797385620915,9.909090909090908,0.07916666666666669,audio-ssd1
birds,0.05,mcar,MCAR,mcb-ar,MCB-AR,1,native,1,20,0,20,0.05175470800168114,0.0,0.0,0.05175470800168114,1,99.61538461538461,0.3499999940395355,0.536833836098542,8.384615384615385,0.10769230769230768,audio-ssd1
birds,0.05,mcar,MCAR,mcb-ar,MCB-AR,2,native,1,20,0,20,0.05036870900221402,0.0,0.0,0.05036870900221402,1,99.61538461538461,0.4033333361148834,0.4572192513368983,8.090909090909092,0.10833333333333332,audio-ssd2
birds,0.1,mcar,MCAR,ours,Ours,1,native,1,20,0,20,0.036461916999542154,0.0,0.0,0.036462500000197906,1,99.61538461538461,0.3499999940395355,0.5206447963800905,8.23076923076923,0.10769230769230768,audio-ssd1
birds,0.1,mcar,MCAR,ours,Ours,2,native,1,20,0,20,0.030065457998716738,0.0,0.0,0.030065874998399522,1,99.61538461538461,0.4000000059604645,0.5326797385620915,9.818181818181818,0.08181818181818182,audio-ssd1
birds,0.1,mcar,MCAR,mcb-ar,MCB-AR,1,native,1,20,0,20,0.09073804199579172,0.0,0.0,0.09073804199579172,1,99.61538461538461,0.20000000298023224,0.6045688788335848,10.0,0.1307692307692308,audio-ssd3
birds,0.1,mcar,MCAR,mcb-ar,MCB-AR,2,native,1,20,0,20,0.08316375000140397,0.0,0.0,0.08316375000140397,1,99.61538461538461,0.44999998807907104,0.46616904337492576,8.272727272727273,0.07727272727272727,audio-ssd2
birds,0.15,mcar,MCAR,ours,Ours,1,native,1,20,0,20,0.05375433400331531,0.0,0.0,0.05375520900270203,1,99.61538461538461,0.30000001192092896,0.5468011563599798,8.615384615384615,0.1346153846153846,audio-ssd1
birds,0.15,mcar,MCAR,ours,Ours,2,native,1,20,0,20,0.04930475000583101,0.0,0.0,0.049305458000162616,1,99.61538461538461,0.4000000059604645,0.4601901366607249,8.363636363636363,0.07916666666666668,audio-ssd1
birds,0.15,mcar,MCAR,mcb-ar,MCB-AR,1,native,1,20,0,20,0.045713458996033296,0.0,0.0,0.045713458996033296,1,99.61538461538461,0.3499999940395355,0.6082327802916038,10.0,0.10769230769230768,audio-ssd3
birds,0.15,mcar,MCAR,mcb-ar,MCB-AR,2,native,1,20,0,20,0.04319920899433782,0.0,0.0,0.04319920899433782,1,99.61538461538461,0.4000000059604645,0.4935754604872251,8.454545454545455,0.09583333333333333,audio-ssd4
scene,0.05,mcar,MCAR,ours,Ours,1,native,1,20,0,20,0.033820792006736156,0.0,0.0,0.033821250006440096,1,99.65986394557824,0.03333333507180214,0.565,2.85,0.18333333333333326,Att1
scene,0.05,mcar,MCAR,ours,Ours,2,native,1,20,0,20,0.039964958996279165,0.0,0.0,0.03996550000010757,1,99.65986394557824,0.05000000074505806,0.46999999999999986,2.35,0.2333333333333333,Att1
scene,0.05,mcar,MCAR,mcb-ar,MCB-AR,1,native,1,20,0,20,0.030091291999269743,0.0,0.0,0.030091291999269743,1,99.65986394557824,0.03333333507180214,0.565,2.85,0.18333333333333326,Att1
scene,0.05,mcar,MCAR,mcb-ar,MCB-AR,2,native,1,20,0,20,0.03149295799812535,0.0,0.0,0.03149295799812535,1,99.65986394557824,0.05000000074505806,0.38,1.9,0.15833333333333327,Att3
scene,0.1,mcar,MCAR,ours,Ours,1,native,1,20,0,20,0.05398304199479753,0.0,0.0,0.053983416997652967,1,99.65986394557824,0.15000000596046448,0.5349999999999999,2.8,0.2166666666666667,Att1
scene,0.1,mcar,MCAR,ours,Ours,2,native,1,20,0,20,0.04009329200198408,0.0,0.0,0.04009391699946718,1,99.65986394557824,0.05000000074505806,0.45999999999999985,2.3,0.24166666666666664,Att1
scene,0.1,mcar,MCAR,mcb-ar,MCB-AR,1,native,1,20,0,20,0.06152737500087824,0.0,0.0,0.06152737500087824,1,99.65986394557824,0.03333333507180214,0.615,3.15,0.2333333333333333,Att2
scene,0.1,mcar,MCAR,mcb-ar,MCB-AR,2,native,1,20,0,20,0.048737292003352195,0.0,0.0,0.048737292003352195,1,99.65986394557824,0.05000000074505806,0.43,2.15,0.17499999999999996,Att3
scene,0.15,mcar,MCAR,ours,Ours,1,native,1,20,0,20,0.04107337499590358,0.0,0.0,0.041073874999710824,1,99.65986394557824,0.15000000596046448,0.5349999999999999,2.8,0.2166666666666667,Att1
scene,0.15,mcar,MCAR,ours,Ours,2,native,1,20,0,20,0.04683616600232199,0.0,0.0,0.046836875000735745,1,99.65986394557824,0.05000000074505806,0.45999999999999985,2.3,0.24166666666666664,Att1
