dataset,missing_ratio,missing_pattern,missing_pattern_label,algorithm,algorithm_label,avg_reduction_time,std_reduction_time,avg_tuning_time,std_tuning_time,avg_preprocessing_time,std_preprocessing_time,avg_selection_pipeline_time,std_selection_pipeline_time,avg_selected_attributes
birds,0.05,mcar,MCAR,ours,Ours,0.036875353998766514,0.015666981703164103,0.0,0.0,0.0,0.0,0.036876416499580955,0.01566748304075032,1.0
birds,0.05,mcar,MCAR,mcb-ar,MCB-AR,0.05106170850194758,0.0009800492912409703,0.0,0.0,0.0,0.0,0.05106170850194758,0.0009800492912409703,1.0
birds,0.1,mcar,MCAR,ours,Ours,0.033263687499129446,0.00452297953506538,0.0,0.0,0.0,0.0,0.033264187499298714,0.004523096915479049,1.0
birds,0.1,mcar,MCAR,mcb-ar,MCB-AR,0.08695089599859784,0.005355833231918557,0.0,0.0,0.0,0.0,0.08695089599859784,0.005355833231918557,1.0
birds,0.15,mcar,MCAR,ours,Ours,0.05152954200457316,0.003146331018080292,0.0,0.0,0.0,0.0,0.051530333501432324,0.0031464491084872586,1.0
birds,0.15,mcar,MCAR,mcb-ar,MCB-AR,0.04445633399518556,0.0017778432257971573,0.0,0.0,0.0,0.0,0.04445633399518556,0.0017778432257971573,1.0
scene,0.05,mcar,MCAR,ours,Ours,0.03689287550150766,0.004344582143048397,0.0,0.0,0.0,0.0,0.03689337500327383,0.004344640835827671,1.0
scene,0.05,mcar,MCAR,mcb-ar,MCB-AR,0.030792124998697545,0.0009911275327494143,0.0,0.0,0.0,0.0,0.030792124998697545,0.0009911275327494143,1.0
scene,0.1,mcar,MCAR,ours,Ours,0.04703816699839081,0.00982153640890419,0.0,0.0,0.0,0.0,0.047038666998560075,0.009821359636007707,1.0
scene,0.1,mcar,MCAR,mcb-ar,MCB-AR,0.055132333502115216,0.00904395441948943,0.0,0.0,0.0,0.0,0.055132333502115216,0.00904395441948943,1.0
scene,0.15,mcar,MCAR,ours,Ours,0.04395477049911278,0.004074908599199307,0.0,0.0,0.0,0.0,0.043955375000223285,0.004075056380702801,1.0
scene,0.15,mcar,MCAR,mcb-ar,MCB-AR,0.04765354150367784,0.0006065201349619555,0.0,0.0,0.0,0.0,0.04765354150367784,0.0006065201349619555,1.0
yeast,0.05,mcar,MCAR,ours,Ours,0.01218270850222325,0.00016216292193691896,0.0,0.0,0.0,0.0,0.012183437000203412,0.00016189775487487654,1.0
yeast,0.05,mcar,MCAR,mcb-ar,MCB-AR,0.013848874503310071,0.00032803885672157666,0.0,0.0,0.0,0.0,0.013848874503310071,0.00032803885672157666,1.0
yeast,0.1,mcar,MCAR,ours,Ours,0.015496687999984715,0.0007962319338666786,0.0,0.0,0.0,0.0,0.015497187498112908,0.0007962906215010736,1.0
yeast,0.1,mcar,MCAR,mcb-ar,MCB-AR,0.011437166500400053,0.00033398986619626806,0.0,0.0,0.0,0.0,0.011437166500400053,0.00033398986619626806,1.0
yeast,0.15,mcar,MCAR,ours,Ours,0.015967499999533175,0.00019445436891750832,0.0,0.0,0.0,0.0,0.01596831250208197,0.00019442537752452019,1.0
yeast,0.15,mcar,MCAR,mcb-ar,MCB-AR,0.021766874997410923,0.0006443510525485367,0.0,0.0,0.0,0.0,0.021766874997410923,0.0006443510525485367,1.0
