dataset,missing_ratio,missing_pattern,missing_pattern_label,algorithm,algorithm_label,fold_index,imputer,tuned_k,train_objects,validation_objects,test_objects,reduction_time,tuning_time,preprocessing_time,selection_pipeline_time,selected_attributes,reduction_rate,test_f1_score,test_ranking_loss,test_coverage,test_hamming_loss,chosen_features
birds,0.05,mcar,MCAR,ours,Ours,1,native,1,20,0,20,0.013530291995266452,0.0,0.0,0.013530666998121887,1,99.61538461538461,0.3499999940395355,0.536833836098542,8.384615384615385,0.10769230769230768,audio-ssd1
birds,0.05,mcar,MCAR,ours,Ours,2,native,1,20,0,20,0.017856250000477303,0.0,0.0,0.0178567920011119,1,99.61538461538461,0.4000000059604645,0.5326797385620915,9.909090909090908,0.07916666666666669,audio-ssd1
birds,0.05,mcar,MCAR,mcb-ar,MCB-AR,1,native,1,20,0,20,0.017775458996766247,0.0,0.0,0.017775458996766247,1,99.61538461538461,0.3499999940395355,0.536833836098542,8.384615384615385,0.10769230769230768,audio-ssd1
birds,0.05,mcar,MCAR,mcb-ar,MCB-AR,2,native,1,20,0,20,0.01852599999983795,0.0,0.0,0.01852599999983795,1,99.61538461538461,0.4033333361148834,0.4572192513368983,8.090909090909092,0.10833333333333332,audio-ssd2
birds,0.05,mcar,MCAR,mfs-mcdm,MFS-MCDM,1,knn,13,20,4,20,0.0033804999984567985,18.70297825000307,0.021745917001680937,18.72810466700321,13,95.0,0.3499999940395355,0.5681938159879336,8.846153846153847,0.10769230769230768,"audio-ssd62,audio-ssd68,audio-ssd79,audio-ssd80,audio-ssd81,audio-ssd83,audio-ssd84,audio-ssd88,audio-ssd92,audio-ssd145,segments,std_rect_width,mean_rect_height"
birds,0.05,mcar,MCAR,mfs-mcdm,MFS-MCDM,2,knn,6,20,4,20,0.0023867499985499308,18.2336780419937,0.02176395800051978,18.25782874999277,6,97.6923076923077,0.125,0.5395127748068925,10.0,0.1,"audio-ssd84,audio-ssd85,audio-ssd87,audio-ssd89,audio-ssd91,audio-ssd93"
birds,0.05,mcar,MCAR,fimf,FIMF,1,em,6,20,4,20,0.6655773329985095,18.972222083000815,0.5226946249968023,20.160494040996127,6,97.6923076923077,0.3499999940395355,0.614888134741076,9.076923076923077,0.10769230769230768,"audio-ssd41,audio-ssd49,audio-ssd80,audio-ssd84,mean_rect_width,mean_rect_height"
birds,0.05,mcar,MCAR,fimf,FIMF,2,missforest,26,20,4,20,1.0807687080014148,23.097004084003856,20.3884011669943,44.56617395899957,26,90.0,0.125,0.5395127748068925,10.0,0.10833333333333332,"audio-ssd13,audio-ssd14,audio-ssd33,audio-ssd34,audio-ssd35,audio-ssd38,audio-ssd61,audio-ssd66,audio-ssd77,audio-ssd82,audio-ssd86,audio-ssd87,audio-ssd88,audio-ssd91,audio-ssd93,audio-ssd109,audio-ssd110,audio-ssd117,audio-ssd136,audio-ssd138,audio-ssd147,audio-ssd148,audio-ssd151,audio-ssd153,audio-ssd156,audio-ssd159"
birds,0.05,mcar,MCAR,ml-csfs,ML-CSFS,1,em,26,20,4,20,1.814599207995343,37.28614391699375,1.2578079590020934,40.35855108399119,26,90.0,0.3499999940395355,0.5042735042735043,8.076923076923077,0.10769230769230768,"audio-ssd2,audio-ssd9,audio-ssd10,audio-ssd13,audio-ssd15,audio-ssd17,audio-ssd18,audio-ssd61,audio-ssd64,audio-ssd97,audio-ssd98,audio-ssd106,audio-ssd109,audio-ssd111,audio-ssd112,audio-ssd113,audio-ssd114,audio-ssd136,cluster3,cluster10,cluster13,cluster51,cluster56,cluster64,cluster71,cluster96"
birds,0.05,mcar,MCAR,ml-csfs,ML-CSFS,2,em,1,20,4,20,0.035627999997814186,18.971815416996833,1.1323290830041515,20.1397724999988,1,99.61538461538461,0.0,0.4488265002970886,7.7272727272727275,0.13461538461538464,std_rect_volume
birds,0.1,mcar,MCAR,ours,Ours,1,native,1,20,0,20,0.1647464999987278,0.0,0.0,0.1647468340015621,1,99.61538461538461,0.3499999940395355,0.5206447963800905,8.23076923076923,0.10769230769230768,audio-ssd1
birds,0.1,mcar,MCAR,ours,Ours,2,native,1,20,0,20,0.027507124999829102,0.0,0.0,0.02750762499636039,1,99.61538461538461,0.4000000059604645,0.5326797385620915,9.818181818181818,0.08181818181818182,audio-ssd1
birds,0.1,mcar,MCAR,mcb-ar,MCB-AR,1,native,1,20,0,20,0.06960366600105772,0.0,0.0,0.06960366600105772,1,99.61538461538461,0.20000000298023224,0.6045688788335848,10.0,0.1307692307692308,audio-ssd3
birds,0.1,mcar,MCAR,mcb-ar,MCB-AR,2,native,1,20,0,20,0.07450695900479332,0.0,0.0,0.07450695900479332,1,99.61538461538461,0.44999998807907104,0.46616904337492576,8.272727272727273,0.07727272727272727,audio-ssd2
birds,0.1,mcar,MCAR,mfs-mcdm,MFS-MCDM,1,missforest,3,20,4,20,0.005892207998840604,29.17086399999971,26.761077583003498,55.93783379100205,3,98.84615384615385,0.3499999940395355,0.5242395676219206,8.307692307692308,0.10769230769230768,"audio-ssd90,audio-ssd91,mean_rect_height"
birds,0.1,mcar,MCAR,mfs-mcdm,MFS-MCDM,2,missforest,6,20,4,20,0.011982167001406197,28.971321249999164,25.012798083000234,53.996101500000805,6,97.6923076923077,0.4833333492279053,0.4786096256684491,8.818181818181818,0.08636363636363636,"audio-ssd63,audio-ssd64,audio-ssd66,audio-ssd68,audio-ssd87,audio-ssd89"
birds,0.1,mcar,MCAR,fimf,FIMF,1,em,26,20,4,20,1.2290097079967381,31.525941332998627,1.5275760419972357,34.2825270829926,26,90.0,0.4000000059604645,0.5947209653092006,9.307692307692308,0.10769230769230771,"audio-ssd2,audio-ssd14,audio-ssd17,audio-ssd32,audio-ssd37,audio-ssd41,audio-ssd49,audio-ssd51,audio-ssd53,audio-ssd63,audio-ssd65,audio-ssd66,audio-ssd73,audio-ssd76,audio-ssd80,audio-ssd84,audio-ssd88,audio-ssd89,audio-ssd93,audio-ssd105,audio-ssd140,audio-ssd153,segments,mean_rect_width,mean_rect_height,mean_rect_volume"
birds,0.1,mcar,MCAR,fimf,FIMF,2,em,52,20,4,20,1.1597107090055943,31.60613100000046,1.6696353340012138,34.43547704300727,52,80.0,0.0,0.4405080213903744,8.181818181818182,0.11249999999999998,"audio-ssd1,audio-ssd2,audio-ssd3,audio-ssd8,audio-ssd10,audio-ssd19,audio-ssd20,audio-ssd21,audio-ssd22,audio-ssd27,audio-ssd28,audio-ssd33,audio-ssd34,audio-ssd35,audio-ssd36,audio-ssd38,audio-ssd44,audio-ssd61,audio-ssd62,audio-ssd65,audio-ssd66,audio-ssd67,audio-ssd68,audio-ssd69,audio-ssd75,audio-ssd77,audio-ssd78,audio-ssd79,audio-ssd80,audio-ssd84,audio-ssd86,audio-ssd88,audio-ssd91,audio-ssd93,audio-ssd101,audio-ssd106,audio-ssd109,audio-ssd110,audio-ssd117,audio-ssd129,audio-ssd136,audio-ssd138,audio-ssd147,audio-ssd150,audio-ssd151,audio-ssd152,audio-ssd155,audio-ssd156,audio-ssd157,audio-ssd160,audio-ssd166,mean_rect_volume"
birds,0.1,mcar,MCAR,ml-csfs,ML-CSFS,1,missforest,6,20,4,20,0.16596962499897927,52.69575462499779,20.640897667006357,73.50262191700313,6,97.6923076923077,0.30000001192092896,0.5516968325791856,8.692307692307692,0.11153846153846154,"audio-ssd64,audio-ssd98,audio-ssd114,audio-ssd135,audio-ssd137,cluster3"
birds,0.1,mcar,MCAR,ml-csfs,ML-CSFS,2,em,1,20,4,20,0.023373292002361268,24.06878608299303,0.8398685829961323,24.932027957991522,1,99.61538461538461,0.044999998062849045,0.44236482471776584,7.7272727272727275,0.1653846153846154,std_rect_volume
birds,0.15,mcar,MCAR,ours,Ours,1,native,1,20,0,20,0.014831583001068793,0.0,0.0,0.014831958003924228,1,99.61538461538461,0.30000001192092896,0.5468011563599798,8.615384615384615,0.1346153846153846,audio-ssd1
birds,0.15,mcar,MCAR,ours,Ours,2,native,1,20,0,20,0.013038250006502494,0.0,0.0,0.013038458004302811,1,99.61538461538461,0.4000000059604645,0.4601901366607249,8.363636363636363,0.07916666666666668,audio-ssd1
birds,0.15,mcar,MCAR,mcb-ar,MCB-AR,1,native,1,20,0,20,0.036968334003177006,0.0,0.0,0.036968334003177006,1,99.61538461538461,0.3499999940395355,0.6082327802916038,10.0,0.10769230769230768,audio-ssd3
birds,0.15,mcar,MCAR,mcb-ar,MCB-AR,2,native,1,20,0,20,0.08581395899818745,0.0,0.0,0.08581395899818745,1,99.61538461538461,0.4000000059604645,0.4935754604872251,8.454545454545455,0.09583333333333333,audio-ssd4
birds,0.15,mcar,MCAR,mfs-mcdm,MFS-MCDM,1,em,52,20,4,20,0.0024184579961001873,28.22941887500201,1.2529714580014115,29.484808790999523,52,80.0,0.3499999940395355,0.6083521870286577,9.461538461538462,0.10769230769230768,"audio-ssd4,audio-ssd5,audio-ssd6,audio-ssd7,audio-ssd12,audio-ssd14,audio-ssd50,audio-ssd64,audio-ssd66,audio-ssd67,audio-ssd68,audio-ssd70,audio-ssd74,audio-ssd75,audio-ssd77,audio-ssd78,audio-ssd79,audio-ssd84,audio-ssd86,audio-ssd88,audio-ssd90,audio-ssd92,audio-ssd97,audio-ssd100,audio-ssd101,audio-ssd102,audio-ssd103,audio-ssd104,audio-ssd108,audio-ssd145,audio-ssd147,audio-ssd148,audio-ssd149,audio-ssd150,audio-ssd151,audio-ssd152,audio-ssd153,audio-ssd154,audio-ssd155,audio-ssd156,audio-ssd157,audio-ssd158,audio-ssd159,audio-ssd160,audio-ssd161,cluster29,cluster36,cluster55,cluster86,segments,mean_rect_width,std_rect_width"
birds,0.15,mcar,MCAR,mfs-mcdm,MFS-MCDM,2,em,26,20,4,20,0.00233312499767635,29.353422959000454,0.9820385000057286,30.33779458400386,26,90.0,0.05000000074505806,0.5203134284016637,9.909090909090908,0.13636363636363633,"audio-ssd49,audio-ssd50,audio-ssd52,audio-ssd64,audio-ssd66,audio-ssd68,audio-ssd69,audio-ssd70,audio-ssd73,audio-ssd75,audio-ssd84,audio-ssd85,audio-ssd86,audio-ssd87,audio-ssd89,audio-ssd90,audio-ssd91,audio-ssd92,audio-ssd160,cluster42,cluster50,cluster85,segments,std_rect_width,mean_rect_height,hasSegments"
birds,0.15,mcar,MCAR,fimf,FIMF,1,missforest,26,20,4,20,0.5474573750034324,30.398341416999756,23.24244012500276,54.18823891700595,26,90.0,0.3499999940395355,0.5429047259929612,8.461538461538462,0.10769230769230768,"audio-ssd14,audio-ssd26,audio-ssd27,audio-ssd31,audio-ssd32,audio-ssd37,audio-ssd42,audio-ssd51,audio-ssd65,audio-ssd66,audio-ssd75,audio-ssd76,audio-ssd80,audio-ssd87,audio-ssd88,audio-ssd90,audio-ssd93,audio-ssd99,audio-ssd115,audio-ssd140,audio-ssd163,segments,mean_rect_width,mean_rect_height,mean_rect_volume,std_rect_volume"
birds,0.15,mcar,MCAR,fimf,FIMF,2,knn,3,20,4,20,1.044897874999151,31.201213332999032,0.031145625005592592,32.277256833003776,3,98.84615384615385,0.10000000149011612,0.5891636957813428,10.909090909090908,0.11818181818181817,"audio-ssd65,audio-ssd93,audio-ssd151"
birds,0.15,mcar,MCAR,ml-csfs,ML-CSFS,1,knn,1,20,4,20,0.036865125002805144,42.48647175000224,0.05069979199470254,42.574036666999746,1,99.61538461538461,0.3499999940395355,0.5736802413273001,9.076923076923077,0.10769230769230768,std_rect_volume
birds,0.15,mcar,MCAR,ml-csfs,ML-CSFS,2,em,1,20,4,20,0.020404000002599787,28.964772500003164,0.8110300420012209,29.796206542006985,1,99.61538461538461,0.044999998062849045,0.44236482471776584,7.7272727272727275,0.16923076923076924,std_rect_volume
scene,0.05,mcar,MCAR,ours,Ours,1,native,1,20,0,20,0.01589116599643603,0.0,0.0,0.01589149999927031,1,99.65986394557824,0.03333333507180214,0.565,2.85,0.18333333333333326,Att1
scene,0.05,mcar,MCAR,ours,Ours,2,native,1,20,0,20,0.019171583000570536,0.0,0.0,0.019171750005625654,1,99.65986394557824,0.05000000074505806,0.46999999999999986,2.35,0.2333333333333333,Att1
scene,0.05,mcar,MCAR,mcb-ar,MCB-AR,1,native,1,20,0,20,0.017484374999185093,0.0,0.0,0.017484374999185093,1,99.65986394557824,0.03333333507180214,0.565,2.85,0.18333333333333326,Att1
scene,0.05,mcar,MCAR,mcb-ar,MCB-AR,2,native,1,20,0,20,0.016913374995056074,0.0,0.0,0.016913374995056074,1,99.65986394557824,0.05000000074505806,0.38,1.9,0.15833333333333327,Att3
