metric,baseline,baseline_label,statistic,p_value,ours_mean,baseline_mean
f1_score,mcb-ar,MCB-AR,13.0,0.90625,0.29029158254464466,0.29071758811672527
f1_score,mfs-mcdm,MFS-MCDM,16.5,0.51171875,0.29029158254464466,0.2681005292882522
f1_score,fimf,FIMF,5.0,0.0390625,0.29029158254464466,0.22370926063093874
f1_score,ml-csfs,ML-CSFS,6.0,0.05078125,0.29029158254464466,0.2199832128567828
ranking_loss,mcb-ar,MCB-AR,13.0,0.546875,0.44340936928384406,0.4457383696809467
ranking_loss,mfs-mcdm,MFS-MCDM,16.0,0.49609375,0.44340936928384406,0.4531946220601683
ranking_loss,fimf,FIMF,19.0,0.734375,0.44340936928384406,0.43359824624618043
ranking_loss,ml-csfs,ML-CSFS,5.0,0.0390625,0.44340936928384406,0.4233758456114899
coverage,mcb-ar,MCB-AR,14.0,0.640625,6.717871017871017,6.744599844599845
coverage,mfs-mcdm,MFS-MCDM,9.0,0.25,6.717871017871017,6.9162587412587415
coverage,fimf,FIMF,18.0,0.65234375,6.717871017871017,6.835392385392385
coverage,ml-csfs,ML-CSFS,13.0,0.30078125,6.717871017871017,6.498776223776224
hamming_loss,mcb-ar,MCB-AR,8.0,0.1875,0.22203120953120953,0.21289335664335665
hamming_loss,mfs-mcdm,MFS-MCDM,13.0,0.28515625,0.22203120953120953,0.20728114478114476
hamming_loss,fimf,FIMF,14.0,0.359375,0.22203120953120953,0.20989542864542865
hamming_loss,ml-csfs,ML-CSFS,19.0,0.734375,0.22203120953120953,0.22663817663817665
reduction_time,mcb-ar,MCB-AR,13.0,0.30078125,0.022233835610677488,0.027523754888130095
reduction_time,mfs-mcdm,MFS-MCDM,0.0,0.00390625,0.022233835610677488,0.002930569444288267
reduction_time,fimf,FIMF,0.0,0.00390625,0.022233835610677488,0.42960587261121774
reduction_time,ml-csfs,ML-CSFS,1.0,0.0078125,0.022233835610677488,0.8342114652223245
