dataset,missing_pattern,missing_pattern_label,missing_ratio,algorithm,algorithm_label,avg_f1_score,std_f1_score,avg_ranking_loss,std_ranking_loss,avg_coverage,std_coverage,avg_hamming_loss,std_hamming_loss,avg_reduction_rate,std_reduction_rate,avg_pure_reduction_time,avg_configured_reduction_time,avg_full_training_time,dominant_imputer
birds,mcar,MCAR,0.1,ours,Ours,0.375,0.03535534748869708,0.526662267471091,0.008509989228080906,9.024475524475523,1.1224702051003244,0.09475524475524474,0.018295769862868707,99.61538461538461,0.0,0.008501416999934008,0.008501416999934008,0.008501667000018642,native
birds,mcar,MCAR,0.1,ml-csfs,ML-CSFS,0.172500004991889,0.1803122390017119,0.4970308286484757,0.07730940415955082,8.20979020979021,0.682382767858346,0.13846153846153847,0.03807498052542949,98.65384615384616,1.3598207330510506,0.0662373334998847,10.264346812499753,35.01609337550008,mixed
birds,by_object,Object-wise,0.1,ours,Ours,0.2666666656732559,0.11785112317328317,0.5267362539421363,0.0271495521520984,8.807692307692307,0.2719641466102109,0.10384615384615384,0.005439282932204202,99.61538461538461,0.0,0.011250145999838423,0.011250145999838423,0.011250417000155721,native
birds,by_object,Object-wise,0.1,ml-csfs,ML-CSFS,0.22499999776482582,0.1767766900282808,0.481387403446227,0.06653021913303014,7.926573426573427,0.5389834905547812,0.1142628205128205,0.009292108342515525,99.61538461538461,0.0,0.01494722899997214,11.401059895500111,39.795849895500396,mixed
birds,by_attribute,Attribute-wise,0.1,ours,Ours,0.3999999910593033,0.0707106739039699,0.5254696284108049,0.04148140013953717,8.748251748251748,0.02966881599384219,0.09248251748251748,0.021509891595534833,99.61538461538461,0.0,0.017763874999218388,0.017763874999218388,0.01776395849947221,native
birds,by_attribute,Attribute-wise,0.1,ml-csfs,ML-CSFS,0.3999999910593033,0.0707106739039699,0.554378056583939,0.019289578241747395,8.423076923076923,0.5983211225424637,0.09248251748251748,0.021509891595534833,99.61538461538461,0.0,0.017093875000227854,0.01959016650016565,0.08242960449979364,em
birds,blockwise,Blockwise,0.1,ours,Ours,0.3999999910593033,0.0707106739039699,0.5254696284108049,0.04148140013953717,8.748251748251748,0.02966881599384219,0.09248251748251748,0.021509891595534833,99.61538461538461,0.0,0.015813499999694614,0.015813499999694614,0.015813791999789828,native
birds,blockwise,Blockwise,0.1,ml-csfs,ML-CSFS,0.3999999910593033,0.0707106739039699,0.46927504684857624,0.08773914030488025,7.6993006993007,0.860395663821394,0.09134615384615384,0.023116952461867898,99.61538461538461,0.0,0.013228437499947177,0.2631664794998869,10.96511256299982,em
scene,mcar,MCAR,0.1,ours,Ours,0.10000000335276127,0.070710681806504,0.4974999999999999,0.05303300858899111,2.55,0.3535533905932738,0.22916666666666669,0.017677669529663646,99.65986394557824,0.0,0.010908333499628498,0.010908333499628498,0.010908541500157298,native
scene,mcar,MCAR,0.1,ml-csfs,ML-CSFS,0.02500000037252903,0.035355339586162986,0.484375,0.050381358159541534,2.35,0.14142135623730964,0.23333333333333336,0.07071067811865485,98.12925170068027,1.2025625530383541,0.25305335400025797,0.2714562500000284,42.38074191700025,knn
scene,by_object,Object-wise,0.1,ours,Ours,0.05000000074505806,0.07071067917232597,0.545625,0.02209708691207961,2.75,0.14142135623730964,0.20833333333333331,0.05892556509887904,99.65986394557824,0.0,0.009967582999706792,0.009967582999706792,0.009967770499770268,native
scene,by_object,Object-wise,0.1,ml-csfs,ML-CSFS,0.02500000037252903,0.035355339586162986,0.5375,0.11667261889578037,2.525,0.38890872965260104,0.19166666666666665,3.925231146709438e-17,88.94557823129252,12.747163062206464,3.5341692709998824,18.346620354500374,73.52722456250012,mixed
scene,by_attribute,Attribute-wise,0.1,ours,Ours,0.09166667051613331,0.08249579412383232,0.5425,0.031819805153394665,2.725,0.1767766952966369,0.1958333333333333,0.005892556509887895,99.65986394557824,0.0,0.022901395999724627,0.022901395999724627,0.02290158350024285,native
scene,by_attribute,Attribute-wise,0.1,ml-csfs,ML-CSFS,0.0833333358168602,0.0,0.464375,0.020329319959113162,2.375,0.1767766952966369,0.25,0.058925565098878925,87.41496598639456,10.582550466737452,3.745007812500262,3.761811354000656,25.060117479000382,em
scene,blockwise,Blockwise,0.1,ours,Ours,0.09166667051613331,0.08249579412383232,0.5425,0.031819805153394665,2.725,0.1767766952966369,0.1958333333333333,0.005892556509887895,99.65986394557824,0.0,0.01191820850044678,0.01191820850044678,0.011918437499844003,native
scene,blockwise,Blockwise,0.1,ml-csfs,ML-CSFS,0.01666666753590107,0.023570227268834665,0.5631250000000001,0.12285980323116276,2.8,0.49497474683058307,0.21249999999999997,0.029462782549439515,97.95918367346938,0.0,0.5227747084995826,5.223316312499719,33.22660654149922,mixed
yeast,mcar,MCAR,0.1,ours,Ours,0.3332875519990921,0.25943220753707924,0.3000156539888683,0.003513395822570036,8.6,0.21213203435596475,0.375,0.029916056127123097,99.02912621359224,0.0,0.003857083499951841,0.003857083499951841,0.0038571670002056635,native
yeast,mcar,MCAR,0.1,ml-csfs,ML-CSFS,0.48241026699543,0.007075591854584635,0.29541698876520306,0.009035708831279996,9.024999999999999,0.6010407640085651,0.32307692307692304,0.010878565864408503,93.20388349514565,5.4920915043615315,0.5419547499996042,0.7177750624991859,14.16194539549906,em
yeast,by_object,Object-wise,0.1,ours,Ours,0.45389972627162933,0.06937912851896523,0.2735566120387549,0.039599473839315544,8.725000000000001,0.6010407640085651,0.3096153846153846,0.013598207330510521,99.02912621359224,0.0,0.004064729499987152,0.004064729499987152,0.004064833499796805,native
yeast,by_object,Object-wise,0.1,ml-csfs,ML-CSFS,0.4789051413536072,0.05088262580174704,0.2919507575757576,0.007258558246271031,9.025,0.5303300858899106,0.3384615384615385,3.925231146709438e-17,93.68932038834953,4.805580066316342,0.6042106670001886,5.8244448960003865,23.10958187500046,mixed
yeast,by_attribute,Attribute-wise,0.1,ours,Ours,0.5090138018131256,0.026214960452139488,0.3046968408575551,0.0541756252208249,8.825,0.6717514421272209,0.33076923076923087,0.02175713172881685,99.02912621359224,0.0,0.004259521000221866,0.004259521000221866,0.004259708500285342,native
yeast,by_attribute,Attribute-wise,0.1,ml-csfs,ML-CSFS,0.48717644810676575,0.011553926316533935,0.3169168728097299,0.026555496474245568,8.4,1.4142135623730951,0.3346153846153846,0.0054392829322042705,99.02912621359224,0.0,0.1855097709999427,0.19192954199979795,1.9989075004996266,mixed
yeast,blockwise,Blockwise,0.1,ours,Ours,0.5090138018131256,0.026214960452139488,0.3046968408575551,0.0541756252208249,8.825,0.6717514421272209,0.33076923076923087,0.02175713172881685,99.02912621359224,0.0,0.003194917000200803,0.003194917000200803,0.0031950419997883728,native
yeast,blockwise,Blockwise,0.1,ml-csfs,ML-CSFS,0.44778861105442047,0.10143867674780742,0.294189793341579,0.07594847575970279,8.925,1.0253048327204948,0.34807692307692306,0.06799103665255272,97.0873786407767,0.0,0.2677605834996939,0.3420334789998378,9.115334854499906,em
